RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
45,15600044,Jackson,589,France,Female,38,8,51895.68,3,1,0,38081.05,1
46,15600045,Brown,569,Germany,Female,41,8,0.0,1,0,0,93439.32,0
47,15600046,Jackson,748,France,Male,42,9,94462.61,3,0,0,174029.28,1
48,15600047,Thompson,565,Germany,Male,46,8,0.0,1,1,0,190179.56,0
49,15600048,Anderson,686,Germany,Female,83,1,138095.85,2,0,1,82575.2,0
50,15600049,Lee,603,France,Female,80,6,92095.69,1,1,1,30172.86,0
51,15600050,Lopez,423,Spain,Female,52,6,93734.62,2,0,1,182628.82,1
52,15600051,Robinson,695,Spain,Male,47,3,82044.8,1,0,1,93512.28,0
53,15600052,Moore,662,Spain,Female,33,4,0.0,2,1,1,57955.35,0
54,15600053,Perez,466,Spain,Male,55,5,55565.91,1,0,1,198729.79,0
55,15600054,Anderson,582,Germany,Male,53,6,233054.9,2,0,0,179916.91,1
56,15600055,White,476,Spain,Male,40,1,152162.28,1,1,1,86413.74,0
57,15600056,Hernandez,720,France,Male,57,9,0.0,2,1,1,10118.21,0
58,15600057,Hernandez,783,France,Female,65,1,0.0,2,1,0,116873.3,0
59,15600058,Lopez,731,France,Male,40,1,102947.36,1,1,1,143310.57,0
60,15600059,Lewis,744,France,Male,46,4,201890.12,2,1,1,1068.89,0
61,15600060,Lee,600,France,Male,64,5,104137.62,2,0,1,66247.77,0
62,15600061,Garcia,702,France,Male,44,10,0.0,1,1,0,18895.36,0
63,15600062,Ramirez,649,Spain,Female,46,5,131118.38,2,1,0,175808.04,0
64,15600063,Perez,667,France,Male,47,2,20698.82,1,0,0,8399.4,0
65,15600064,Johnson,741,France,Male,58,3,89064.43,2,0,1,190075.38,0
66,15600065,Jackson,762,Germany,Female,67,6,20672.82,2,1,1,7026.41,0
67,15600066,Smith,612,France,Female,76,6,0.0,1,0,0,6795.99,1
68,15600067,Thompson,514,Spain,Female,66,5,0.0,1,1,0,86770.55,0
69,15600068,Sanchez,632,France,Male,52,0,94315.79,2,1,1,70608.42,0
70,15600069,Harris,628,Spain,Female,60,9,179017.84,1,1,0,9796.39,0
71,15600070,Garcia,677,Spain,Female,39,5,0.0,1,1,1,158300.83,0
72,15600071,Jones,729,France,Female,86,0,126083.55,2,0,1,13149.3,0
73,15600072,Sanchez,466,France,Female,43,10,0.0,1,1,0,12132.26,1
74,15600073,Thomas,585,Spain,Male,59,4,212335.14,2,1,0,97158.77,0
75,15600074,Moore,557,Germany,Female,54,5,143204.1,2,1,1,69833.89,0
76,15600075,Anderson,770,Germany,Male,38,6,50847.39,1,1,0,28319.0,0
77,15600076,Thompson,629,Spain,Male,44,7,93959.09,2,0,0,24538.49,0
78,15600077,Jones,600,France,Male,68,8,184234.02,2,1,0,193971.87,0
79,15600078,Perez,701,France,Male,50,5,0.0,1,0,1,128703.77,0
80,15600079,Lewis,593,France,Female,42,10,49869.6,2,1,0,41827.05,0
81,15600080,Williams,648,Spain,Female,49,6,0.0,2,1,0,64243.23,0
82,15600081,Rodriguez,824,Germany,Female,42,3,181360.37,2,1,0,132383.46,0
83,15600082,Hernandez,821,France,Female,46,9,160124.58,2,1,1,17477.59,0
84,15600083,Lewis,610,France,Male,37,6,0.0,1,1,0,71488.21,0
85,15600084,Moore,632,France,Male,52,9,0.0,1,0,0,5602.63,0
86,15600085,Brown,590,France,Female,54,0,35866.0,2,0,1,121109.53,0
87,15600086,Moore,465,Germany,Female,46,2,103908.66,2,1,1,170896.43,0
88,15600087,Smith,749,Germany,Male,68,0,212808.25,1,1,0,180439.86,1
89,15600088,Robinson,850,Spain,Female,47,10,0.0,2,1,1,128953.79,0
90,15600089,Davis,607,France,Male,50,7,97975.12,2,1,0,161755.77,0
91,15600090,Sanchez,571,France,Male,45,2,57183.36,1,1,0,152257.41,0
92,15600091,Garcia,623,Germany,Male,48,6,145854.59,2,1,1,4118.94,0
93,15600092,Taylor,658,Spain,Male,61,1,170221.17,1,0,0,34192.08,0
94,15600093,Johnson,540,Germany,Female,39,4,0.0,2,1,0,13182.21,0
95,15600094,Robinson,605,Spain,Female,57,2,83663.98,2,0,1,56019.5,0
96,15600095,Anderson,747,France,Male,44,9,65195.78,2,1,1,16846.4,0
97,15600096,Lewis,662,Germany,Female,40,2,28883.49,2,1,1,101832.17,0
98,15600097,Smith,771,France,Female,48,4,0.0,1,0,0,38352.07,1
99,15600098,Brown,685,France,Male,74,7,144993.12,1,0,1,34111.14,0
100,15600099,Lewis,545,France,Male,59,1,15535.55,2,1,1,196864.46,0
101,15600100,Lewis,594,France,Female,48,10,153457.05,2,1,1,182964.92,0
102,15600101,Sanchez,673,Germany,Female,42,3,0.0,2,0,0,39872.41,1
103,15600102,Perez,542,France,Female,79,3,138716.04,1,0,0,41356.78,1
104,15600103,Moore,529,Germany,Male,55,10,70744.19,1,0,0,146683.19,1
105,15600104,Jones,535,Spain,Female,52,4,0.0,1,1,0,131228.51,0
106,15600105,Jackson,699,France,Male,59,5,81004.47,2,1,0,60568.11,0
107,15600106,Rodriguez,614,France,Male,60,8,68796.08,1,1,0,173185.66,1
108,15600107,Brown,763,Spain,Male,47,4,27308.07,2,1,1,24352.36,0
109,15600108,Jones,563,France,Male,63,9,94511.02,1,1,1,155043.56,0
110,15600109,Taylor,414,France,Male,38,7,0.0,2,1,0,181372.66,0
111,15600110,Ramirez,637,France,Male,59,4,142354.42,2,1,1,30207.57,0
112,15600111,Clark,808,France,Male,47,2,24065.52,1,1,1,111427.03,0
113,15600112,Jackson,653,Spain,Female,69,5,77850.66,1,0,0,11421.86,1
114,15600113,Martinez,518,Spain,Male,46,3,0.0,2,0,1,161956.49,0
115,15600114,Lopez,494,Germany,Male,65,4,130127.27,1,1,0,145578.26,1
116,15600115,Gonzalez,764,Spain,Male,56,7,0.0,2,0,1,93809.68,0
117,15600116,Taylor,572,Spain,Male,92,10,0.0,1,1,0,58309.91,1
118,15600117,Clark,798,France,Female,62,10,269001.11,2,1,1,35915.79,0
119,15600118,Ramirez,712,Spain,Male,53,3,106833.59,2,1,1,144683.09,0
120,15600119,Lee,576,Germany,Female,36,6,0.0,2,1,0,138666.41,1
121,15600120,Lee,762,Spain,Male,67,2,0.0,1,1,0,104198.36,1
122,15600121,Lee,561,Spain,Male,68,3,0.0,1,1,1,28378.93,0
123,15600122,Thompson,511,France,Female,48,7,173153.0,1,0,1,10340.74,0
124,15600123,Brown,566,France,Female,45,7,39271.99,1,0,0,6654.55,0
125,15600124,Lee,723,France,Male,64,8,264395.58,1,1,0,176579.44,1
126,15600125,Martin,759,France,Female,56,3,0.0,1,0,1,24666.71,0
127,15600126,Jones,611,Spain,Male,50,9,0.0,2,0,1,97258.97,0
128,15600127,Martin,470,Spain,Female,58,3,0.0,1,1,1,165044.22,0
129,15600128,Jackson,500,France,Female,48,4,141667.24,1,1,0,92205.23,0
130,15600129,Robinson,547,Germany,Female,68,4,66371.02,2,1,1,2254.35,0
131,15600130,Taylor,525,France,Female,49,2,175382.68,1,0,0,161614.2,0
132,15600131,Brown,675,France,Male,64,0,0.0,2,1,1,18915.3,0
133,15600132,Hernandez,836,France,Female,53,9,28968.05,2,1,1,101778.28,0
134,15600133,Gonzalez,726,France,Male,56,0,0.0,1,1,1,163842.24,0
135,15600134,Perez,541,Spain,Male,78,7,110116.52,1,0,1,114043.37,0
136,15600135,Jackson,583,France,Male,47,3,88271.62,1,1,1,39811.9,0
137,15600136,Lewis,602,Germany,Male,63,10,21789.98,2,1,1,25038.13,1
138,15600137,Hernandez,687,Germany,Female,73,9,107509.58,2,0,1,197234.48,1
139,15600138,Moore,800,France,Female,62,10,0.0,1,1,0,49649.5,0
140,15600139,Harris,605,Spain,Female,69,1,0.0,2,1,0,2810.02,0
141,15600140,Lewis,797,Spain,Male,54,5,154609.29,1,1,0,74471.05,0
142,15600141,Martin,850,France,Male,61,8,29975.95,1,0,1,146809.22,0
143,15600142,Rodriguez,616,France,Female,65,4,72337.62,2,1,1,83075.75,0
144,15600143,Williams,613,France,Male,52,2,192156.4,2,1,0,31684.98,0
145,15600144,Robinson,615,France,Female,90,3,68076.63,1,1,1,38806.73,0
146,15600145,Lee,655,France,Female,43,1,63628.96,2,1,0,143583.5,0
147,15600146,Smith,615,Germany,Female,42,6,241895.52,2,1,1,186800.79,1
148,15600147,Brown,734,Germany,Male,76,3,161522.98,2,1,1,53611.68,0
149,15600148,Clark,501,France,Female,72,3,72462.95,2,1,0,185748.35,1
150,15600149,Thomas,598,France,Male,45,7,136011.41,2,1,1,25685.73,0
151,15600150,Anderson,681,Spain,Female,69,9,0.0,1,0,0,18589.5,0
152,15600151,Thomas,733,France,Male,58,4,0.0,2,1,0,34038.65,0
153,15600152,Perez,850,France,Male,53,2,0.0,1,1,1,78479.13,0
154,15600153,Hernandez,526,France,Male,45,5,64999.76,1,0,0,107042.54,0
155,15600154,Anderson,587,Spain,Female,51,7,48658.36,2,0,0,45942.65,0
156,15600155,Gonzalez,432,France,Male,43,9,132429.38,2,1,1,16405.59,0
157,15600156,Rodriguez,543,Germany,Male,49,0,0.0,1,1,0,147174.96,0
158,15600157,Martin,480,Spain,Male,43,8,87922.21,2,1,0,58609.31,0
159,15600158,Davis,599,France,Female,39,3,73368.19,1,1,1,109254.79,0
160,15600159,Clark,628,Germany,Female,70,4,66435.83,2,0,0,152904.32,1
161,15600160,Martinez,695,France,Female,50,9,0.0,2,1,1,21087.83,0
162,15600161,Hernandez,621,Germany,Female,57,2,137890.78,3,1,0,102604.75,1
163,15600162,Martinez,695,Germany,Male,46,8,0.0,2,1,0,166920.75,0
164,15600163,Thompson,660,Germany,Male,50,5,96960.01,2,0,1,71912.28,0
165,15600164,Jones,550,France,Female,42,0,96798.55,1,1,0,106256.89,0
166,15600165,Miller,488,Spain,Male,76,8,76555.77,1,0,0,187969.72,1
167,15600166,Hernandez,706,France,Male,33,10,0.0,1,1,0,148877.12,0
168,15600167,Rodriguez,808,France,Male,64,4,0.0,2,1,1,78233.26,0
169,15600168,Taylor,850,France,Male,46,2,103692.91,2,1,1,28946.44,0
170,15600169,Harris,739,Germany,Male,42,3,0.0,1,0,0,54470.16,0
171,15600170,Anderson,789,Germany,Male,38,4,32983.96,1,1,0,110653.85,0
172,15600171,Smith,694,France,Male,54,0,0.0,2,0,1,33302.7,0
173,15600172,Clark,678,Germany,Male,62,9,79532.0,2,0,0,71271.12,1
174,15600173,Thomas,660,France,Male,61,2,0.0,1,1,0,130631.46,0
175,15600174,Johnson,639,Germany,Male,47,6,113003.49,1,0,1,186312.62,0
176,15600175,Martin,708,France,Male,50,8,0.0,1,0,1,45005.8,0
177,15600176,Harris,600,Germany,Female,42,5,0.0,1,1,1,50824.13,0
178,15600177,Davis,635,France,Male,43,3,40524.03,1,1,1,137092.93,0
179,15600178,Lewis,536,Spain,Female,70,3,0.0,1,0,0,24093.48,0
180,15600179,Ramirez,695,France,Female,36,8,44041.17,2,0,0,33012.82,0
181,15600180,Robinson,557,France,Female,35,0,106021.59,1,1,0,34943.92,1
182,15600181,Sanchez,653,France,Male,45,5,59381.09,1,0,0,130142.96,0
183,15600182,Taylor,698,Spain,Male,76,3,0.0,1,1,1,93389.76,0
184,15600183,Smith,706,Spain,Male,53,2,0.0,1,1,0,24485.19,0
185,15600184,Ramirez,724,France,Female,90,10,0.0,2,1,1,54613.68,0
186,15600185,Miller,629,Germany,Male,49,0,47313.29,2,1,0,92182.0,1
187,15600186,Rodriguez,696,Spain,Female,61,4,0.0,1,1,1,61903.22,0
188,15600187,Jones,603,Germany,Female,67,3,149703.46,2,1,0,83286.61,1
189,15600188,Hernandez,460,Germany,Male,85,9,93048.76,1,1,1,183400.89,1
190,15600189,Anderson,700,France,Male,46,3,0.0,1,1,1,193089.14,0
191,15600190,Thomas,678,France,Female,52,7,142926.29,1,0,0,198422.59,0
192,15600191,Sanchez,747,Spain,Male,50,10,50700.02,2,0,1,5231.94,0
193,15600192,Thomas,647,Spain,Male,62,10,111846.96,1,1,1,142933.64,0
194,15600193,Moore,496,Germany,Female,74,1,75816.44,2,1,0,187018.59,1
195,15600194,Thomas,641,France,Male,73,10,0.0,1,0,0,180824.01,1
196,15600195,Robinson,735,France,Female,45,9,0.0,4,0,1,4970.27,1
197,15600196,Miller,695,Germany,Female,43,10,0.0,2,1,0,161446.94,1
198,15600197,Clark,635,Spain,Female,61,9,0.0,1,0,0,91782.09,0
199,15600198,Lee,490,Spain,Male,41,3,79392.37,1,1,0,170037.8,0
200,15600199,Lewis,551,Spain,Male,63,10,0.0,2,1,1,143117.27,0
201,15600200,Hernandez,695,Germany,Male,52,0,89677.74,1,1,0,88021.49,1
202,15600201,Perez,490,France,Male,70,1,149164.78,2,1,1,59082.96,0
203,15600202,Hernandez,619,France,Male,67,9,63369.74,2,1,0,180.3,1
204,15600203,Williams,653,Spain,Male,54,9,0.0,1,0,1,108057.44,0
205,15600204,Martin,760,Germany,Male,40,2,0.0,2,1,0,79822.09,0
206,15600205,Lopez,708,France,Male,41,0,126759.49,1,1,0,67868.62,0
207,15600206,Davis,742,France,Female,53,1,0.0,2,1,0,93666.0,0
208,15600207,Garcia,678,Germany,Male,58,6,44688.97,1,1,0,95254.15,1
209,15600208,Williams,568,France,Male,49,9,161503.87,2,1,1,115284.7,0
210,15600209,Garcia,591,France,Female,43,9,109836.63,3,1,0,131693.0,1
211,15600210,White,560,Germany,Female,49,5,0.0,1,1,0,32728.98,1
212,15600211,Rodriguez,706,Germany,Male,71,1,31327.56,1,1,1,44417.8,1
213,15600212,Thomas,583,Germany,Male,49,0,88612.39,1,1,1,91366.12,0
214,15600213,Martinez,612,France,Female,46,9,120463.57,1,1,1,53171.66,0
215,15600214,Jones,652,Germany,Female,41,8,147071.95,1,1,0,158947.89,1
216,15600215,Perez,807,France,Female,52,0,201885.9,1,1,0,96251.54,0
217,15600216,Johnson,713,France,Female,68,9,90973.21,2,0,0,107077.47,0
218,15600217,Lee,575,Germany,Male,68,4,100250.72,2,0,1,112165.5,0
219,15600218,Rodriguez,664,Germany,Male,44,8,0.0,1,0,1,145238.55,0
220,15600219,Garcia,808,Spain,Male,54,8,109309.48,1,1,0,141257.65,1
221,15600220,Robinson,709,Germany,Female,45,5,118971.71,1,1,1,137473.68,0
222,15600221,Garcia,496,Germany,Female,48,2,0.0,2,0,0,16319.14,1
223,15600222,Thomas,562,France,Female,51,1,151380.67,1,1,0,150327.21,0
224,15600223,Martin,554,France,Male,47,2,114509.84,2,1,1,158177.95,0
225,15600224,Williams,788,France,Male,29,0,119295.74,2,1,1,128451.79,0
226,15600225,Williams,770,France,Female,76,2,109294.7,1,1,1,170447.23,0
227,15600226,Sanchez,589,Spain,Female,46,1,89631.68,1,1,1,61087.37,0
228,15600227,Ramirez,587,France,Female,45,7,118735.74,1,1,0,15686.78,0
229,15600228,Jackson,654,Spain,Male,44,9,67946.16,1,1,0,61115.22,0
230,15600229,Ramirez,657,Germany,Male,38,6,0.0,1,1,1,144052.82,0
231,15600230,Martin,557,Spain,Male,77,0,48387.75,1,0,1,154620.58,0
232,15600231,Jones,626,Germany,Male,52,0,0.0,2,0,1,123806.16,1
233,15600232,White,510,Germany,Female,58,4,127355.04,2,1,0,33787.4,1
234,15600233,Martinez,772,France,Male,57,3,0.0,1,1,0,146842.96,1
235,15600234,Wilson,481,France,Female,47,7,238131.56,2,1,0,2229.45,0
236,15600235,Taylor,479,Germany,Female,52,7,121005.04,1,1,1,11668.52,0
237,15600236,Perez,691,France,Female,62,2,35039.18,2,1,1,18666.17,1
238,15600237,Thompson,531,France,Male,39,4,67064.41,1,0,0,49470.96,0
239,15600238,Jackson,601,Germany,Female,48,6,171742.62,1,1,0,88979.29,0
240,15600239,Rodriguez,656,France,Male,50,7,155723.42,1,1,0,108095.41,0
241,15600240,Thompson,714,Spain,Female,46,2,116906.72,1,0,0,102905.58,0
242,15600241,Rodriguez,628,Spain,Male,46,7,30882.75,2,0,1,145399.9,0
243,15600242,Harris,820,Spain,Male,54,9,142270.49,2,1,0,25938.24,0
244,15600243,Lewis,649,France,Male,71,8,0.0,1,1,1,120658.52,0
245,15600244,Anderson,764,France,Male,58,2,112884.33,1,1,0,94432.76,1
246,15600245,Harris,676,Spain,Female,44,1,0.0,1,1,0,135644.82,0
247,15600246,Wilson,850,France,Male,92,1,77427.46,2,1,1,194974.06,0
248,15600247,Brown,751,Spain,Female,72,4,0.0,1,0,1,74284.47,1
249,15600248,White,654,Spain,Female,47,9,146503.69,1,1,0,49272.34,0
250,15600249,Martinez,710,Spain,Male,72,0,0.0,1,0,0,171651.99,1
251,15600250,Jones,624,France,Female,55,5,0.0,2,1,1,58357.57,0
252,15600251,Wilson,623,France,Male,40,6,143535.62,1,1,0,172189.39,0
253,15600252,Smith,524,Spain,Male,69,4,0.0,1,0,0,11366.71,1
254,15600253,Robinson,572,France,Male,44,10,56749.97,1,0,0,12621.89,0
255,15600254,Perez,847,France,Female,58,7,0.0,3,0,1,125378.36,1
256,15600255,Clark,534,Germany,Male,54,5,0.0,2,1,0,56651.09,0
257,15600256,Perez,587,Spain,Female,60,0,197742.52,1,1,0,78409.4,1
258,15600257,Lee,641,Germany,Male,78,8,137714.04,1,0,0,3598.62,1
259,15600258,Clark,644,Germany,Female,52,4,0.0,1,1,1,104033.93,0
260,15600259,Miller,686,France,Male,40,4,0.0,1,0,0,2844.88,0
261,15600260,Hernandez,604,Germany,Female,45,0,145785.42,1,1,0,171177.1,1
262,15600261,Ramirez,692,Spain,Female,40,4,60446.78,2,0,0,135045.9,0
263,15600262,Martin,759,France,Female,37,2,34190.8,2,1,1,87699.54,0
264,15600263,Martinez,771,Germany,Female,67,9,116440.0,2,1,1,128109.36,1
265,15600264,Gonzalez,624,Spain,Female,53,2,0.0,2,0,0,94264.29,0
266,15600265,Smith,708,Germany,Male,51,10,93846.05,2,0,1,32446.84,0
267,15600266,Jones,539,Germany,Male,47,9,85851.53,1,1,1,107164.54,0
268,15600267,Moore,580,Germany,Male,63,7,183533.87,1,1,1,183598.74,0
269,15600268,Garcia,537,France,Male,74,8,154195.75,1,1,1,126920.03,0
270,15600269,Clark,645,France,Male,43,5,49408.27,1,1,1,163906.81,0
271,15600270,Brown,567,Spain,Male,58,2,91976.88,1,1,0,50155.32,1
272,15600271,Johnson,504,Spain,Male,66,7,121410.7,2,1,1,82902.56,0
273,15600272,Johnson,612,Spain,Female,55,2,50733.53,1,0,1,55330.61,0
274,15600273,Moore,484,Spain,Male,62,6,0.0,2,0,1,150621.16,0
275,15600274,Gonzalez,777,Germany,Female,40,1,0.0,2,1,0,127594.34,0
276,15600275,Gonzalez,596,Germany,Male,30,5,141049.99,1,1,0,114427.08,1
277,15600276,Robinson,744,Spain,Female,75,7,0.0,1,1,0,1505.28,1
278,15600277,Ramirez,602,Germany,Female,63,2,126304.22,1,1,0,171655.69,1
279,15600278,Smith,535,Germany,Male,59,8,202218.3,2,1,0,182547.59,1
280,15600279,Lee,762,Spain,Male,65,10,13962.63,2,1,1,140425.25,0
281,15600280,Martin,658,Spain,Male,49,8,78441.45,2,1,0,176819.18,0
282,15600281,Jones,831,France,Male,42,2,0.0,2,1,1,167735.85,0
283,15600282,Perez,605,France,Female,40,2,117483.41,1,1,0,163854.83,0
284,15600283,Wilson,607,France,Female,39,4,76600.68,2,1,1,147396.87,0
285,15600284,Lee,746,Germany,Male,58,8,0.0,1,1,1,12768.3,0
286,15600285,Wilson,747,France,Male,48,0,159632.54,2,1,0,25788.68,0
287,15600286,Johnson,664,France,Male,73,0,136032.39,1,1,1,168591.11,0
288,15600287,White,850,Germany,Male,69,0,0.0,2,1,1,79639.12,0
289,15600288,Harris,623,France,Female,63,3,54467.35,2,0,0,151102.6,1
290,15600289,Thompson,528,Germany,Male,60,6,127007.17,2,1,0,39786.18,0
291,15600290,Miller,553,France,Male,45,10,0.0,2,1,1,129985.27,0
292,15600291,Jackson,623,France,Male,46,1,0.0,1,1,1,48343.58,0
293,15600292,Lewis,795,Spain,Male,45,2,0.0,1,1,1,87082.2,0
294,15600293,Hernandez,632,France,Female,41,3,198624.0,2,0,1,57415.0,0
295,15600294,Williams,800,France,Male,51,0,0.0,2,0,0,89585.15,0
296,15600295,Moore,691,Germany,Female,66,1,80777.12,2,1,0,196407.4,0
297,15600296,Wilson,754,Spain,Female,50,1,0.0,1,1,1,133348.74,0
298,15600297,Brown,687,France,Male,44,10,84232.14,1,0,0,172537.29,1
299,15600298,Rodriguez,686,Germany,Male,50,5,0.0,2,1,0,96265.66,1
300,15600299,Martin,722,France,Female,54,3,243513.61,2,1,0,3288.26,1
301,15600300,Thomas,595,France,Female,47,6,0.0,1,1,0,142948.14,0
302,15600301,Jones,596,Germany,Female,51,10,78061.26,4,0,0,193492.7,1
303,15600302,Johnson,683,Germany,Male,92,7,169348.84,2,1,1,57277.76,1
304,15600303,Lewis,836,Germany,Female,38,1,0.0,2,0,0,131729.21,1
305,15600304,Wilson,502,Germany,Male,34,1,35712.81,1,0,1,87012.31,0
306,15600305,Gonzalez,455,Spain,Female,53,4,59835.64,2,0,0,108146.22,1
307,15600306,Davis,624,Germany,Female,57,3,75892.75,2,0,1,13739.89,0
308,15600307,Clark,748,France,Male,50,9,140464.71,2,1,0,150762.62,0
309,15600308,Martinez,654,Spain,Female,42,1,98751.09,2,1,0,171496.71,0
310,15600309,Martin,537,France,Male,73,8,76103.61,2,1,0,14103.76,0
311,15600310,Rodriguez,657,France,Female,53,8,0.0,2,0,0,109559.47,1
312,15600311,Lee,483,France,Male,54,9,0.0,1,1,0,152509.52,0
313,15600312,Rodriguez,710,France,Female,63,3,58417.81,2,1,1,196595.24,1
314,15600313,Smith,620,Spain,Male,50,1,166214.35,1,1,0,65222.51,1
315,15600314,Moore,642,Spain,Female,49,2,0.0,2,1,0,68088.5,0
316,15600315,Miller,691,Germany,Male,73,7,163650.64,2,0,1,175307.16,1
317,15600316,Thomas,669,France,Male,36,10,0.0,1,1,0,140439.59,0
318,15600317,Harris,598,France,Male,56,7,201081.63,2,0,0,191125.24,0
319,15600318,Williams,749,France,Female,55,6,109479.13,1,1,0,96421.89,1
320,15600319,Wilson,726,France,Male,47,3,75086.62,2,1,1,124105.59,0
321,15600320,Hernandez,479,Germany,Female,50,0,29685.12,1,1,1,15461.66,0
322,15600321,Thompson,627,Germany,Male,71,9,61456.22,1,1,1,193790.16,0
323,15600322,Gonzalez,546,Germany,Female,44,8,0.0,2,1,0,73009.6,1
324,15600323,Martin,528,France,Male,62,6,0.0,1,1,1,112897.7,1
325,15600324,Thomas,701,Spain,Male,52,0,99679.25,2,1,0,116287.08,0
326,15600325,Martin,609,Germany,Male,60,4,0.0,1,0,0,90683.78,0
327,15600326,Hernandez,636,Germany,Male,57,2,0.0,2,1,0,158151.62,0
328,15600327,Davis,585,Germany,Male,33,1,0.0,2,1,1,116286.3,0
329,15600328,Harris,685,France,Male,43,2,0.0,1,1,1,45836.86,0
330,15600329,Wilson,715,France,Female,45,5,0.0,2,1,0,68942.49,0
331,15600330,Ramirez,850,France,Female,42,6,0.0,2,1,1,190849.22,0
332,15600331,Thomas,632,Spain,Female,46,9,0.0,2,1,0,167840.97,1
333,15600332,White,510,France,Male,54,8,130426.83,1,0,1,193384.19,0
334,15600333,Wilson,601,France,Female,64,9,0.0,1,1,0,49813.39,0
335,15600334,Garcia,731,France,Male,39,10,115654.33,2,1,1,88393.02,0
336,15600335,Sanchez,575,France,Female,52,6,0.0,1,1,0,14445.84,0
337,15600336,Thompson,507,Spain,Male,56,0,105916.64,2,1,1,92441.38,0
338,15600337,Johnson,577,Germany,Male,67,6,0.0,1,1,0,47026.4,0
339,15600338,Moore,598,France,Male,75,0,87804.65,2,0,1,83240.21,0
340,15600339,Garcia,546,France,Female,50,7,113222.52,2,0,1,61255.97,0
341,15600340,Clark,670,France,Male,42,1,0.0,1,0,0,9226.99,1
342,15600341,Davis,642,France,Female,57,1,49982.77,1,1,0,53537.92,1
